Beaver,"6,501","5,615",86.37%
Box Elder,"50,171","47,138",93.95%
Cache,"115,520","115,520",100.00%
Carbon,"21,246","21,246",100.00%
Daggett,"1,090","1,090",100.00%
Davis,"315,809","315,809",100.00%
Duchesne,"19,244","19,244",100.00%
Emery,"10,933","10,933",100.00%
Garfield,"5,095",0,0.00%
Grand,"9,328","9,328",100.00%
Iron,"46,750","46,750",100.00%
Juab,"10,341","10,341",100.00%
Kane,"7,221","4,882",67.61%
Millard,"12,569","12,569",100.00%
Morgan,"9,821","9,821",100.00%
Piute,"1,524","1,524",100.00%
Rich,"2,267","2,267",100.00%
Salt Lake,"1,063,842","1,063,453",99.96%
San Juan,"14,965","14,965",100.00%
Sanpete,"27,906","17,516",62.77%
Sevier,"20,784","20,784",100.00%
Summit,"38,003","38,003",100.00%
Tooele,"59,870","59,870",100.00%
Uintah,"34,524","34,524",100.00%
Utah,"540,504","540,504",100.00%
Wasatch,"25,273","25,273",100.00%
Washington,"144,809","144,809",100.00%
Wayne,"2,737","2,737",100.00%
Weber,"236,640","236,640",100.00%
