agency, population, homicide, rape, robbery, aggravated-assault, burglary, larceny, motor-vehicle-theft, arson, total-crime-index, crime-rate-per-1000
"Beaver County Sheriff","5,615","0","0","0","11","12","22","3","0","48","8.55"
"Minersville Marshal","886",,,,"No Data Received",,,,"0.00"
"Box Elder County Sheriff","14,969","0","1","0","6 37 145","9","0","198","13.23"
"Brigham City PD","18,149","0","10","4","45 95 554","18","0","726","40.00"
"Garland PD","2,360",,,,"No Data Received",,,,"0.00"
"Mantua PD","673",,,,"No Data Received",,,,"0.00"
"Perry PD","4,484","0","5","1","6 24 77","1","0","114","25.42"
"Tremonton PD","7,790","0","4","1","12 25 144","8","2","196","25.16"
"Willard PD","1,746","0","0","1","0 2 12","0","0","15","8.59"
"Cache County Sheriff","43,834","0","9","0","4 74 316","19","0","422","9.63"
"Cache-Rich Drug Task Force *","0","0","0","0","0 2 2","0","0","4"
"Logan PD","48,879","0","1","3","28 190 812","31","1","1,066","21.81"
"North Park PD","12,819","0","8","0","3 66 203","6","3","289","22.54"
"Smithfield PD","9,988","0","1","1","1 22 70","6","1","102","10.21"
"Utah State University PD","0","0","0","0","0 6 91","0","0","97"
"Carbon County Sheriff","7,486","1","2","0","5 42 130","7","0","187","24.98"
"East Carbon PD","1,277","0","3","0","15 49 83","7","1","158","123.73"
"Helper PD","2,189","1","0","1","0 11 42","0","0","55","25.13"
"Price PD","8,621","1","4","0","18 70 326","10","3","432","50.11"
"Utah State University Eastern","0","0","0","0","1 0 7","0","0","8"
"Wellington PD","1,673","0","1","0","0 22 18","5","0","46","27.50"
"Davis County Sheriff","25,305","0","5","0","11 48 154","6","0","224","8.85"
"Bountiful PD","42,898","1","17","2","17 142 750","47","0","976","22.75"
"Centerville PD","16,203","0","2","0","3 58 413","19","0","495","30.55"
"Clearfield PD","30,376","0","8","6","36 89 625","17","1","782","25.74"
"Clinton PD","20,805","0","3","0","9 37 274","7","0","330","15.86"
"Davis County Task Force **","0","0","0","0","0 0 1","0","0","1"
"Farmington PD","20,750","0","3","0","3 34 263","19","1","323","15.57"
"Kaysville PD","28,283","0","3","0","9 55 221","12","0","300","10.61"
"Layton PD","68,677","0","34","6","45 289 1,509","48","1","1,932","28.13"
"North Salt Lake PD","16,717","0","11","4","11 58 386","36","0","506","30.27"
"Sunset PD","5,136","0","0","0","0 14 119","5","0","138","26.87"
"Syracuse PD","25,118","1","5","0","5 26 194","4","0","235","9.36"
"West Bountiful PD","5,329","0","1","1","5 19 133","11","0","170","31.90"
"Woods Cross PD","10,212","0","7","1","5 64 158","19","0","254","24.87"
"Duchesne County Sheriff","12,934","0","2","0","22 58 239","14","1","336","25.98"
"Roosevelt PD","6,310","0","5","0","6 34 189","9","0","243","38.51"
"Emery County Sheriff","10,933","0","2","0","1 21 46","5","0","75","6.86"
"Garfield County Sheriff","5,095",,,,"No Data Received",,,,"0.00"
"Grand County Sheriff","4,235","0","3","0","11 27 57","5","0","103","24.32"
"Moab PD","5,093","0","2","0","10 25 170","17","0","224","43.98"
"Iron County Sheriff","8,729","0","5","1","32 43 97","14","3","195","22.34"
"Brian Head Marshal","84","0","0","0","0 8 14","1","0","23","273.81"
"Cedar City PD","29,118","1","17","3","55 117 600","28","1","822","28.23"
"Enoch PD","5,992","0","1","0","22 27 38","8","0","96","16.02"
"Parowan PD","2,827","0","0","1","3 21 50","2","0","77","27.24"
"Southern Utah University PD","0","0","0","0","0 2 30","0","0","32"
"Juab County Sheriff","4,903","0","0","0","1 14 43","6","0","64","13.05"
"Nephi PD","5,438","0","2","0","3 17 97","4","0","123","22.62"
